Country,Year,Product,Value,total emissions CO2 (KgCo2),Energy Type,consumption (GWh),iso_alpha
Republic of Turkiye,2023,Oil and Petroleum Products,35.1969,25341.768,Oil and Petroleum Products,639113.83,TUR
Republic of Turkiye,2023,Natural Gas,4558.9748,2233897.652,Natural Gas,484293.5,TUR
Republic of Turkiye,2023,Combustible Renewables,761.2118,175078.714,,,
Republic of Turkiye,2023,Geothermal,834.3082,31703.711600000002,,,
Republic of Turkiye,2023,Solar,1047.6203,50285.7744,Solar,53301.117,TUR
Republic of Turkiye,2023,Not Specified,103.6814,,,,
Republic of Turkiye,2023,Wind,3034.1454,34892.6721,Wind,88501.625,TUR
United Kingdom,2023,Nuclear,3508.1956,42098.347200000004,Nuclear,101574.03,GBR
United Kingdom,2023,Hydro,920.2034,22084.8816,Hydro,13493.555,GBR
United Kingdom,2023,Coal-Peat and Manufactured Gases,373.2919,306099.358,Coal-Peat and Manufactured Gases,51034.106999999996,GBR
United Kingdom,2023,Oil and Petroleum Products,129.9956,93596.832,Oil and Petroleum Products,746780.2000000001,GBR
United Kingdom,2023,Natural Gas,6920.065,3390831.85,Natural Gas,635035.2000000001,GBR
United Kingdom,2023,Combustible Renewables,2867.3288,659485.624,,,
United Kingdom,2023,Other Combustible Non-Renewables,423.2573,347070.986,,,
United Kingdom,2023,Solar,395.0488,18962.3424,Solar,35916.57,GBR
United Kingdom,2023,Other Renewables,0.9342,22.4208,Other Renewables,108503.02,GBR
United Kingdom,2023,Wind,10704.6166,123103.0909,Wind,212981.0,GBR
United States,2023,Nuclear,68901.5393,826818.4716,Nuclear,2034434.0999999999,USA
United States,2023,Hydro,19709.6376,473031.3024,Hydro,613882.7999999999,USA
United States,2023,Coal-Peat and Manufactured Gases,59268.7638,48600386.316,Coal-Peat and Manufactured Gases,2276868.0,USA
United States,2023,Oil and Petroleum Products,2156.2398,1552492.6559999997,Oil and Petroleum Products,9960662.0,USA
United States,2023,Natural Gas,143483.5268,70306928.132,Natural Gas,8864672.0,USA
United States,2023,Combustible Renewables,4083.6619,939242.237,,,
United States,2023,Other Combustible Non-Renewables,796.1461,652839.802,,,
