Country,Year,Energy Type,consumption (GWh)
Angola,1983,Natural Gas,
Angola,1984,Wind,
Angola,1984,Hydro,
Angola,1984,Solar,
Angola,1984,Nuclear,0.0
Angola,1984,Biofuels,
Angola,1984,Other Renewables,
Angola,1984,Coal-Peat and Manufactured Gases,
Angola,1984,Oil and Petroleum Products,
Angola,1984,Natural Gas,
Angola,1985,Wind,
Angola,1985,Hydro,
Angola,1985,Solar,
Angola,1985,Nuclear,0.0
Angola,1985,Biofuels,
Angola,1985,Other Renewables,
Angola,1985,Coal-Peat and Manufactured Gases,
Angola,1985,Oil and Petroleum Products,
Angola,1985,Natural Gas,
Angola,1986,Wind,
Angola,1986,Hydro,
Angola,1986,Solar,
Angola,1986,Nuclear,0.0
Angola,1986,Biofuels,
Angola,1986,Other Renewables,
Angola,1986,Coal-Peat and Manufactured Gases,
Angola,1986,Oil and Petroleum Products,
Angola,1986,Natural Gas,
Angola,1987,Wind,
Angola,1987,Hydro,
Angola,1987,Solar,
Angola,1987,Nuclear,0.0
Angola,1987,Biofuels,
Angola,1987,Other Renewables,
Angola,1987,Coal-Peat and Manufactured Gases,
Angola,1987,Oil and Petroleum Products,
Angola,1987,Natural Gas,
Angola,1988,Wind,
Angola,1988,Hydro,
Angola,1988,Solar,
Angola,1988,Nuclear,0.0
Angola,1988,Biofuels,
Angola,1988,Other Renewables,
Angola,1988,Coal-Peat and Manufactured Gases,
Angola,1988,Oil and Petroleum Products,
Angola,1988,Natural Gas,
Angola,1989,Wind,
Angola,1989,Hydro,
Angola,1989,Solar,
